algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,9443,8
QuickSort,random,1000,0,15269,20
QuickSelect,random,1000,0,4378,11
MergeSort,sorted,1000,0,4236,8
QuickSort,sorted,1000,0,15942,23
QuickSelect,sorted,1000,0,6590,12
MergeSort,duplicates,1000,0,9177,8
QuickSort,duplicates,1000,0,5166,6
QuickSelect,duplicates,1000,0,3389,4
MergeSort,random,10000,1,126929,11
QuickSort,random,10000,0,232366,29
QuickSelect,random,10000,0,49722,16
MergeSort,sorted,10000,0,59248,11
QuickSort,sorted,10000,0,260281,31
QuickSelect,sorted,10000,0,40689,18
MergeSort,duplicates,10000,0,121723,11
QuickSort,duplicates,10000,0,53048,5
QuickSelect,duplicates,10000,0,35984,4
MergeSort,random,100000,7,1640560,14
QuickSort,random,100000,10,3049725,47
QuickSelect,random,100000,1,644780,22
MergeSort,sorted,100000,1,744016,14
QuickSort,sorted,100000,5,3047722,38
QuickSelect,sorted,100000,0,451182,21
MergeSort,duplicates,100000,4,1561843,14
QuickSort,duplicates,100000,1,540526,6
QuickSelect,duplicates,100000,1,259971,2
MergeSort,random,1000000,96,19884329,18
QuickSort,random,1000000,99,37969701,48
QuickSelect,random,1000000,10,5567931,23
MergeSort,sorted,1000000,22,9071040,18
QuickSort,sorted,1000000,66,36322683,46
QuickSelect,sorted,1000000,4,4067950,25
MergeSort,duplicates,1000000,47,18921522,18
QuickSort,duplicates,1000000,14,5097007,6
QuickSelect,duplicates,1000000,8,1500627,1
